2000026778 = Verdict: Unsolved ; Iters: 11751311 ; Length: -1
2006975761 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2007177871 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2007302181 = Verdict: Unsolved ; Iters: 11655652 ; Length: -1
2007381940 = Verdict: Unsolved ; Iters: 18863815 ; Length: -1
2007697055 = Verdict: Unsolved ; Iters: 10709454 ; Length: -1
2008002286 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2008214665 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2008299679 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2008640534 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2009213407 = Verdict: Unsolved ; Iters: 12095995 ; Length: -1
2009233304 = Verdict: Unsolved ; Iters: 18378719 ; Length: -1
2009261280 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2009394331 = Verdict: Unsolved ; Iters: 10597843 ; Length: -1
2009423228 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2009438153 = Verdict: Unsolved ; Iters: 10840547 ; Length: -1
2009438284 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2009467753 = Verdict: Unsolved ; Iters: 19145406 ; Length: -1
2009479443 = Verdict: Unsolved ; Iters: 19936202 ; Length: -1
2009504833 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2009530780 = Verdict: Unsolved ; Iters: 14647300 ; Length: -1
2009619853 = Verdict: Unsolved ; Iters: 13436457 ; Length: -1
2009678337 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2009703010 = Verdict: Unsolved ; Iters: 11278099 ; Length: -1
2009748834 = Verdict: Unsolved ; Iters: 12416565 ; Length: -1
2009810417 = Verdict: Unsolved ; Iters: 12902160 ; Length: -1
2009835072 = Verdict: Unsolved ; Iters: 12711674 ; Length: -1
2009842559 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2009883242 = Verdict: Unsolved ; Iters: 17542511 ; Length: -1
2009924559 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2010056448 = Verdict: Unsolved ; Iters: 10317989 ; Length: -1
2010363508 = Verdict: Unsolved ; Iters: 14776089 ; Length: -1
2010503684 = Verdict: Unsolved ; Iters: 12236670 ; Length: -1
2010600114 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2010624659 = Verdict: Unsolved ; Iters: 12343530 ; Length: -1
2010644813 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2010751762 = Verdict: Unsolved ; Iters: 11320835 ; Length: -1
2011042441 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2011098311 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2011134487 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2011259846 = Verdict: Unsolved ; Iters: 18187843 ; Length: -1
2011335399 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2011406201 = Verdict: Unsolved ; Iters: 13508711 ; Length: -1
2011410999 = Verdict: Unsolved ; Iters: 10313691 ; Length: -1
2011432373 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2011456737 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2011461018 = Verdict: Unsolved ; Iters: 10193740 ; Length: -1
2011475277 = Verdict: Unsolved ; Iters: 11948850 ; Length: -1
2011580614 = Verdict: Unsolved ; Iters: 13096373 ; Length: -1
2011762899 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2011926277 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2012118927 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2012298369 = Verdict: Unsolved ; Iters: 19442461 ; Length: -1
2012299229 = Verdict: Unsolved ; Iters: 11533836 ; Length: -1
2012304005 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2012372169 = Verdict: Unsolved ; Iters: 14211429 ; Length: -1
2012392028 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
